Date,Last Price
2023-11-17,4.4354
2023-11-16,4.4355
2023-11-15,4.5314
2023-11-14,4.4473
2023-11-13,4.6399
2023-11-10,4.6518
2023-11-09,4.6241
2023-11-08,4.4925
2023-11-07,4.5665
2023-11-06,4.6431
2023-11-03,4.5724
2023-11-02,4.659
2023-11-01,4.7341
2023-10-31,4.9307
2023-10-30,4.8942
2023-10-27,4.8346
2023-10-26,4.8445
2023-10-25,4.9549
2023-10-24,4.8229
2023-10-23,4.8502
2023-10-20,4.9137
2023-10-19,4.9898
2023-10-18,4.9149
2023-10-17,4.8341
2023-10-16,4.706
2023-10-13,4.6124
2023-10-12,4.6969
2023-10-11,4.5582
2023-10-10,4.653
2023-10-06,4.8009
2023-10-05,4.7185
2023-10-04,4.7329
2023-10-03,4.7955
2023-10-02,4.6785
2023-09-29,4.5711
2023-09-28,4.5748
2023-09-27,4.6075
2023-09-26,4.5356
2023-09-25,4.5334
2023-09-22,4.4337
2023-09-21,4.4942
2023-09-20,4.407
2023-09-19,4.3586
2023-09-18,4.3026
2023-09-15,4.3324
2023-09-14,4.2863
2023-09-13,4.2485
2023-09-12,4.2801
2023-09-11,4.288
2023-09-08,4.2641
2023-09-07,4.2441
2023-09-06,4.2797
2023-09-05,4.2598
2023-09-01,4.1788
2023-08-31,4.1081
2023-08-30,4.1139
2023-08-29,4.1197
2023-08-28,4.202
2023-08-25,4.2354
2023-08-24,4.2372
2023-08-23,4.1918
2023-08-22,4.3241
2023-08-21,4.3379
2023-08-18,4.2546
2023-08-17,4.2741
2023-08-16,4.2504
2023-08-15,4.211
2023-08-14,4.1913
2023-08-11,4.1522
2023-08-10,4.1055
2023-08-09,4.0081
2023-08-08,4.022
2023-08-07,4.0885
2023-08-04,4.0338
2023-08-03,4.1751
2023-08-02,4.0775
2023-08-01,4.023
2023-07-31,3.9588
2023-07-28,3.9507
2023-07-27,3.9982
2023-07-26,3.8668
2023-07-25,3.8845
2023-07-24,3.8725
2023-07-21,3.8349
2023-07-20,3.8503
2023-07-19,3.7483
2023-07-18,3.7853
2023-07-17,3.8068
2023-07-14,3.8322
2023-07-13,3.7634
2023-07-12,3.8573
2023-07-11,3.97
2023-07-10,3.9938
2023-07-07,4.0616
2023-07-06,4.0291
2023-07-05,3.9315
2023-07-03,3.8545
2023-06-30,3.8367
2023-06-29,3.8383
2023-06-28,3.7078
2023-06-27,3.7639
2023-06-26,3.7212
2023-06-23,3.7347
2023-06-22,3.7946
2023-06-21,3.7189
2023-06-20,3.7207
2023-06-16,3.7613
2023-06-15,3.7165
2023-06-14,3.7862
2023-06-13,3.8133
2023-06-12,3.7356
2023-06-09,3.7394
2023-06-08,3.7179
2023-06-07,3.7952
2023-06-06,3.6602
2023-06-05,3.6831
2023-06-02,3.6907
2023-06-01,3.595
2023-05-31,3.6426
2023-05-30,3.6866
2023-05-26,3.7983
2023-05-25,3.8174
2023-05-24,3.7419
2023-05-23,3.6919
2023-05-22,3.7148
2023-05-19,3.6726
2023-05-18,3.6457
2023-05-17,3.5641
2023-05-16,3.5339
2023-05-15,3.5019
2023-05-12,3.4625
